Date,Price
5/23/2002,1.196429
5/24/2002,1.21
5/28/2002,1.157143
5/29/2002,1.103571
5/30/2002,1.071429
5/31/2002,1.076429
6/3/2002,1.128571
6/4/2002,1.117857
6/5/2002,1.147143
6/6/2002,1.182143
6/7/2002,1.118571
6/10/2002,1.156429
6/11/2002,1.153571
6/12/2002,1.092857
6/13/2002,1.082857
6/14/2002,0.986429
6/17/2002,0.922143
6/18/2002,0.910714
6/19/2002,0.951429
6/20/2002,0.957143
6/21/2002,0.979286
6/24/2002,0.978571
6/25/2002,0.964286
6/26/2002,0.988571
6/27/2002,0.943571
6/28/2002,0.999286
7/1/2002,1.027857
7/2/2002,1.172857
7/3/2002,1.214286
7/5/2002,1.276429
7/8/2002,1.175714
7/9/2002,1.160714
7/10/2002,1.163571
7/11/2002,1.269286
7/12/2002,1.207857
7/15/2002,1.142857
7/16/2002,1.126429
7/17/2002,1.089286
7/18/2002,1.149286
7/19/2002,1.16
7/22/2002,1.170714
7/23/2002,1.146429
7/24/2002,1.114286
7/25/2002,1.036429
7/26/2002,0.871429
7/29/2002,0.876429
7/30/2002,0.914286
7/31/2002,0.953571
8/1/2002,0.891429
8/2/2002,0.777857
8/5/2002,0.775
8/6/2002,0.760714
8/7/2002,0.793571
8/8/2002,0.796429
8/9/2002,0.787143
8/12/2002,0.757143
8/13/2002,0.772857
8/14/2002,0.833571
8/15/2002,0.882857
8/16/2002,0.912857
8/19/2002,0.982143
8/20/2002,0.946429
8/21/2002,0.968571
8/22/2002,0.983571
8/23/2002,0.993571
8/26/2002,0.967857
8/27/2002,0.873571
8/28/2002,0.864286
8/29/2002,0.903571
8/30/2002,0.936429
9/3/2002,0.925
9/4/2002,0.928571
9/5/2002,0.917857
9/6/2002,0.914286
9/9/2002,0.901429
9/10/2002,0.945
9/11/2002,0.961429
9/12/2002,0.925
9/13/2002,0.878571
9/16/2002,0.857143
9/17/2002,0.83
9/18/2002,0.787857
9/19/2002,0.724286
9/20/2002,0.707857
9/23/2002,0.711429
9/24/2002,0.717857
9/25/2002,0.732143
9/26/2002,0.782857
9/27/2002,0.72
9/30/2002,0.692857
10/1/2002,0.678571
10/2/2002,0.578571
10/3/2002,0.517857
10/4/2002,0.468571
10/7/2002,0.412143
10/8/2002,0.405
10/9/2002,0.372857
10/10/2002,0.506429
10/11/2002,0.470714
10/14/2002,0.534286
10/15/2002,0.55
10/16/2002,0.459286
10/17/2002,0.55
10/18/2002,0.682857
10/21/2002,0.636429
10/22/2002,0.625
10/23/2002,0.589286
10/24/2002,0.579286
10/25/2002,0.642857
10/28/2002,0.685714
10/29/2002,0.657143
10/30/2002,0.641429
10/31/2002,0.640714
11/1/2002,0.638571
11/4/2002,0.671429
11/5/2002,0.651429
11/6/2002,0.629286
11/7/2002,0.592857
11/8/2002,0.610714
11/11/2002,0.600714
11/12/2002,0.577857
11/13/2002,0.641429
11/14/2002,0.618571
11/15/2002,0.65
11/18/2002,0.778571
11/19/2002,0.664286
11/20/2002,0.717143
11/21/2002,0.785714
11/22/2002,0.786429
11/25/2002,0.792857
11/26/2002,0.749286
11/27/2002,0.751429
11/29/2002,0.775
12/2/2002,0.761429
12/3/2002,0.770714
12/4/2002,0.71
12/5/2002,0.785714
12/6/2002,0.782143
12/9/2002,0.799286
12/10/2002,0.871429
12/11/2002,0.897143
12/12/2002,0.900714
12/13/2002,0.892857
12/16/2002,0.913571
12/17/2002,0.906429
12/18/2002,0.785
12/19/2002,0.771429
12/20/2002,0.764286
12/23/2002,0.732143
12/24/2002,0.707143
12/26/2002,0.696429
12/27/2002,0.690714
12/30/2002,0.713571
12/31/2002,0.786429
1/2/2003,0.817857
1/3/2003,0.772857
1/6/2003,0.792857
1/7/2003,0.783571
1/8/2003,0.815
1/9/2003,0.838571
1/10/2003,0.886429
1/13/2003,0.867143
1/14/2003,0.86
1/15/2003,0.871429
1/16/2003,0.857143
1/17/2003,0.817143
1/21/2003,0.814286
1/22/2003,0.828571
1/23/2003,0.87
1/24/2003,0.880714
1/27/2003,0.877143
1/28/2003,0.896429
1/29/2003,0.881429
1/30/2003,0.902143
1/31/2003,0.942857
2/3/2003,0.914286
2/4/2003,0.878571
2/5/2003,0.852857
2/6/2003,0.832143
2/7/2003,0.87
2/10/2003,0.890714
2/11/2003,0.927143
2/12/2003,0.948571
2/13/2003,0.944286
2/14/2003,1.017143
2/18/2003,1.047143
2/19/2003,1.081429
2/20/2003,1.098571
2/21/2003,1.064286
2/24/2003,1.002857
2/25/2003,1.046429
2/26/2003,1.039286
2/27/2003,1.178571
2/28/2003,1.222143
3/3/2003,1.14
3/4/2003,1.167857
3/5/2003,1.153571
3/6/2003,1.164286
3/7/2003,1.149286
3/10/2003,1.123571
3/11/2003,1.107143
3/12/2003,1.075714
3/13/2003,1.160714
3/14/2003,1.182143
3/17/2003,1.285714
3/18/2003,1.339286
3/19/2003,1.374286
3/20/2003,1.345
3/21/2003,1.325
3/24/2003,1.285714
3/25/2003,1.375
3/26/2003,1.471429
3/27/2003,1.552143
3/28/2003,1.504286
3/31/2003,1.453571
4/1/2003,1.354286
4/2/2003,1.417143
4/3/2003,1.428571
4/4/2003,1.396429
4/7/2003,1.425
4/8/2003,1.441429
4/9/2003,1.457143
4/10/2003,1.501429
4/11/2003,1.483571
4/14/2003,1.442857
4/15/2003,1.439286
4/16/2003,1.469286
4/17/2003,1.568571
4/21/2003,1.759286
4/22/2003,1.640714
4/23/2003,1.48
4/24/2003,1.572857
4/25/2003,1.510714
4/28/2003,1.582857
4/29/2003,1.628571
4/30/2003,1.628571
5/1/2003,1.607143
5/2/2003,1.616429
5/5/2003,1.669286
5/6/2003,1.658571
5/7/2003,1.687857
5/8/2003,1.634286
5/9/2003,1.615714
5/12/2003,1.680714
5/13/2003,1.796429
5/14/2003,1.748571
5/15/2003,1.747143
5/16/2003,1.699286
5/19/2003,1.485
5/20/2003,1.553571
5/21/2003,1.513571
5/22/2003,1.613571
5/23/2003,1.58
5/27/2003,1.620714
5/28/2003,1.614286
5/29/2003,1.628571
5/30/2003,1.607143
6/2/2003,1.664286
6/3/2003,1.704286
6/4/2003,1.742857
6/5/2003,1.815
6/6/2003,1.686429
6/9/2003,1.642857
6/10/2003,1.621429
6/11/2003,1.603571
